Date,Open,High,Low,Close,Adj Close,Volume
2000-11-29,24.375000,24.750000,24.375000,24.437500,11.682744,2770700
2000-11-30,23.625000,23.937500,22.562500,22.750000,10.876005,8213300
2000-12-01,23.625000,24.562500,23.000000,24.187500,11.563227,7976700
2000-12-04,23.000000,24.375000,22.812500,23.812500,11.383952,6196600
2000-12-05,23.750000,24.812500,23.312500,24.750000,11.832136,6770500
2000-12-06,23.750000,24.250000,23.500000,23.875000,11.413828,6054700
2000-12-07,23.875000,24.500000,23.812500,24.000000,11.473588,4572200
2000-12-08,24.000000,24.500000,23.687500,24.125000,11.533349,3727400
2000-12-11,23.750000,24.187500,23.562500,23.875000,11.413828,3334400
2000-12-12,23.562500,24.250000,23.562500,23.625000,11.294319,4245800
2000-12-13,23.312500,24.062500,23.250000,23.625000,11.294319,5728700
2000-12-14,23.625000,23.937500,23.187500,23.250000,11.115040,5470100
2000-12-15,22.187500,23.625000,22.125000,22.500000,10.756490,8593000
2000-12-18,23.062500,23.687500,22.937500,23.500000,11.234553,5042200
2000-12-19,23.812500,23.875000,23.312500,23.562500,11.264436,4097500
2000-12-20,23.125000,23.250000,21.687500,22.125000,10.577215,7916000
2000-12-21,22.437500,24.187500,22.187500,24.187500,11.563227,9171400
2000-12-22,22.750000,24.000000,22.312500,22.812500,10.905888,8402800
2000-12-26,22.812500,24.125000,22.750000,24.000000,11.473588,5520200
2000-12-27,23.250000,23.812500,23.187500,23.562500,11.264436,5228800
2000-12-28,23.812500,24.312500,23.812500,24.250000,11.593104,3995500
2000-12-29,24.062500,24.062500,23.312500,23.437500,11.204679,4746800
2001-01-02,23.812500,24.937500,23.750000,24.312500,11.622988,5226500
2001-01-03,24.562500,25.500000,23.875000,25.125000,12.011411,11157800
2001-01-04,28.000000,28.000000,25.437500,26.937500,12.877906,14896200
2001-01-05,27.000000,27.000000,25.875000,26.250000,12.549236,6710900
2001-01-08,25.437500,26.000000,24.937500,25.625000,12.250449,5900300
2001-01-09,25.750000,26.750000,25.562500,26.437500,12.638881,7254400
2001-01-10,25.625000,26.500000,25.562500,26.250000,12.549236,6974400
2001-01-11,26.062500,27.625000,25.937500,26.937500,12.877906,6835600
2001-01-12,27.000000,27.062500,25.875000,26.375000,12.608997,5003000
2001-01-16,26.375000,27.437500,26.000000,27.125000,12.967546,6242700
2001-01-17,27.375000,27.500000,26.625000,26.875000,12.848030,3039000
2001-01-18,26.562500,27.812500,26.562500,27.187500,12.997427,5065400
2001-01-19,26.750000,27.000000,25.937500,26.312500,12.579121,6563300
2001-01-22,26.312500,27.187500,26.125000,27.125000,12.967546,4243600
2001-01-23,27.375000,27.375000,26.875000,27.000000,12.907791,3482100
2001-01-24,27.125000,28.000000,27.000000,27.750000,13.266334,5593000
2001-01-25,27.687500,28.250000,27.562500,28.062500,13.415739,5915800
2001-01-26,27.937500,28.250000,27.562500,28.000000,13.530509,4187200
2001-01-29,27.850000,28.320000,27.660000,28.290001,13.670634,3326800
2001-01-30,28.020000,28.740000,27.629999,28.299999,13.675467,4020200
2001-01-31,28.350000,28.650000,27.900000,28.190001,13.622313,4553600
2001-02-01,27.920000,28.420000,27.700001,28.370001,13.709296,3507100
2001-02-02,28.250000,28.309999,27.870001,28.010000,13.535332,4275600
2001-02-05,28.100000,28.750000,28.070000,28.450001,13.747953,4061600
2001-02-06,28.450001,28.910000,28.400000,28.740000,13.888096,4603800
2001-02-07,28.250000,28.650000,27.250000,27.260000,13.172912,6834200
2001-02-08,27.950001,28.250000,27.719999,28.010000,13.535332,5327100
2001-02-09,28.049999,28.049999,26.799999,26.920000,13.008611,4210900
2001-02-12,27.340000,28.000000,27.299999,27.799999,13.433855,5888100
2001-02-13,27.950001,28.090000,27.549999,27.920000,13.491851,3332000
2001-02-14,27.940001,28.469999,27.790001,27.860001,13.462852,4509100
2001-02-15,28.180000,28.290001,27.870001,28.000000,13.530509,4265400
2001-02-16,27.799999,28.240000,27.600000,27.600000,13.337209,4200400
2001-02-20,27.650000,28.459999,27.610001,27.709999,13.390365,4845000
2001-02-21,27.530001,28.350000,27.530001,27.680000,13.375869,3677600
2001-02-22,27.700001,27.969999,27.120001,27.510000,13.293713,4769400
2001-02-23,27.350000,28.650000,27.280001,28.350000,13.699632,7048500
2001-02-26,28.450001,29.000000,28.000000,28.600000,13.820441,6265700
2001-02-27,28.600000,28.730000,28.260000,28.430000,13.738294,4132700
2001-02-28,28.900000,28.969999,27.500000,27.809999,13.438684,4803100
2001-03-01,27.809999,28.510000,27.799999,28.209999,13.631976,6285400
2001-03-02,28.209999,28.600000,27.980000,28.059999,13.559491,4060600
2001-03-05,27.650000,28.480000,27.650000,28.299999,13.675467,2932300
2001-03-06,28.799999,29.250000,28.500000,29.040001,14.033061,4536700
2001-03-07,29.020000,29.180000,28.910000,29.080000,14.052392,3986500
2001-03-08,29.090000,30.500000,28.930000,30.350000,14.666095,11033100
2001-03-09,30.170000,30.450001,29.910000,30.100000,14.545288,7359500
2001-03-12,30.049999,31.370001,29.770000,30.250000,14.617770,8059200
2001-03-13,30.129999,30.500000,29.430000,29.840000,14.419650,5677000
2001-03-14,29.100000,30.250000,28.690001,28.690001,13.863935,8795200
2001-03-15,28.120001,28.670000,28.120001,28.600000,13.820441,5616100
2001-03-16,27.950001,29.000000,27.950001,28.430000,13.738294,7993400
2001-03-19,28.400000,30.090000,28.400000,29.809999,14.405149,5152000
2001-03-20,29.580000,30.040001,28.750000,28.820000,13.926752,5885600
2001-03-21,29.049999,29.330000,28.049999,28.250000,13.651308,5222700
2001-03-22,28.000000,28.100000,27.020000,27.809999,13.438684,7059400
2001-03-23,28.000000,28.100000,27.070000,27.900000,13.482175,5035700
2001-03-26,28.600000,29.549999,28.400000,28.990000,14.008898,3820100
2001-03-27,28.100000,28.400000,27.740000,28.120001,13.588491,8785400
2001-03-28,28.250000,28.420000,27.780001,27.940001,13.501509,4944000
2001-03-29,27.990000,28.670000,27.520000,28.490000,13.767284,4983300
2001-03-30,28.389999,28.650000,27.770000,28.120001,13.588491,3807000
2001-04-02,27.799999,28.799999,27.750000,28.610001,13.825272,5252400
2001-04-03,28.170000,28.320000,27.290001,27.370001,13.226066,5127500
2001-04-04,27.879999,28.629999,27.870001,28.570000,13.805941,7200800
2001-04-05,28.700001,28.799999,27.980000,28.350000,13.699632,5531000
2001-04-06,27.780001,28.139999,27.500000,27.799999,13.433855,5084400
2001-04-09,28.049999,29.000000,27.950001,29.000000,14.013733,4417500
2001-04-10,28.900000,29.900000,28.650000,28.959999,13.994405,4634700
2001-04-11,28.959999,28.959999,27.650000,28.180000,13.617483,7375700
2001-04-12,28.350000,29.030001,28.030001,29.000000,14.013733,5149100
2001-04-16,28.850000,29.180000,28.510000,29.180000,14.100714,3531600
2001-04-17,28.799999,29.250000,28.799999,28.879999,13.955739,3264500
2001-04-18,29.500000,31.420000,29.250000,30.709999,14.840061,11597300
2001-04-19,30.000000,30.680000,29.920000,30.299999,14.641937,6807800
2001-04-20,30.080000,30.350000,29.900000,30.000000,14.496965,5214500
2001-04-23,30.000000,30.410000,29.930000,30.059999,14.525960,3574900
2001-04-24,30.000000,30.350000,29.670000,29.670000,14.337499,4248900
2001-04-25,28.750000,28.920000,27.900000,28.799999,13.917091,7978500
2001-04-26,28.980000,29.730000,28.750000,29.200001,14.110379,7514100
2001-04-27,29.000000,29.610001,28.910000,29.610001,14.308504,4613400
2001-04-30,29.250000,29.920000,28.950001,29.480000,14.391497,5593100
2001-05-01,28.799999,29.139999,28.000000,28.299999,13.815445,8231800
2001-05-02,28.370001,29.430000,28.180000,29.250000,14.279210,8037600
2001-05-03,29.049999,29.049999,28.350000,28.700001,14.010716,3601000
2001-05-04,28.379999,29.200001,28.250000,29.080000,14.196222,3354400
2001-05-07,28.450001,28.820000,28.200001,28.450001,13.888673,4490200
2001-05-08,28.410000,28.430000,27.959999,28.160000,13.747104,4498800
2001-05-09,28.160000,28.719999,27.990000,28.080000,13.708050,4461800
2001-05-10,28.379999,28.870001,28.219999,28.420000,13.874027,5140400
2001-05-11,28.420000,28.510000,27.570000,27.820000,13.581118,4201800
2001-05-14,28.000000,28.280001,27.420000,27.799999,13.571352,3577600
2001-05-15,28.299999,28.299999,27.660000,27.959999,13.649466,4593900
2001-05-16,27.350000,28.350000,27.350000,28.090000,13.712927,6705600
2001-05-17,28.180000,28.250000,27.250000,27.559999,13.454194,7315700
2001-05-18,27.600000,27.730000,26.879999,27.129999,13.244275,6536000
2001-05-21,26.299999,26.680000,26.000000,26.650000,13.009951,12907000
2001-05-22,26.250000,26.250000,25.700001,25.980000,12.682873,10742600
2001-05-23,25.120001,25.799999,24.740000,25.790001,12.590117,13937100
2001-05-24,25.110001,25.650000,25.040001,25.650000,12.521773,8314100
2001-05-25,25.120001,25.260000,24.520000,24.740000,12.077533,7846400
