Date,Open,High,Low,Close,Adj Close,Volume
2000-11-29,42.375000,43.500000,40.937500,42.750000,24.641653,61411300
2000-11-30,38.500000,38.937500,36.812500,38.062500,21.939726,78955300
2000-12-01,38.500000,38.500000,33.812500,34.125000,19.670097,1155400
2000-12-04,35.125000,35.343750,32.062500,32.937500,18.985611,82755800
2000-12-05,34.625000,36.500000,34.000000,36.000000,20.750879,75071400
2000-12-06,35.312500,35.312500,31.250000,31.750000,18.301105,102012000
2000-12-07,32.437500,33.250000,31.437500,32.312500,18.625347,68263600
2000-12-08,34.750000,34.875000,33.000000,34.000000,19.598055,88021400
2000-12-11,35.125000,38.187500,34.312500,37.437500,21.579460,73069600
2000-12-12,36.937500,37.921875,36.375000,36.500000,21.039078,48167200
2000-12-13,37.750000,37.875000,35.187500,35.500000,20.462660,48719800
2000-12-14,35.562500,36.625000,34.500000,35.125000,20.246517,33708000
2000-12-15,34.562500,34.750000,32.312500,32.437500,18.697403,80843900
2000-12-18,34.187500,34.500000,32.421875,33.250000,19.165737,38556100
2000-12-19,33.750000,36.250000,33.312500,33.437500,19.273813,54732300
2000-12-20,32.937500,34.125000,31.500000,31.937500,18.409189,63150800
2000-12-21,32.000000,34.453125,31.625000,33.125000,19.093683,51590000
2000-12-22,33.625000,35.000000,32.000000,32.937500,18.985611,45424100
2000-12-26,33.125000,33.875000,32.000000,32.875000,18.949589,28436200
2000-12-27,32.687500,33.687500,32.312500,32.562500,18.769457,33621500
2000-12-28,32.125000,32.687500,30.062500,30.937500,17.832777,49339500
2000-12-29,30.937500,31.437500,29.812500,30.062500,17.328426,54053600
2001-01-02,30.687500,31.875000,30.250000,31.062500,17.904835,50342900
2001-01-03,30.125000,34.625000,30.125000,34.234375,19.733152,78291900
2001-01-04,34.000000,35.375000,32.687500,33.796875,19.480968,68769000
2001-01-05,34.062500,34.625000,31.750000,32.062500,18.481249,44974700
2001-01-08,31.500000,32.312500,30.625000,31.937500,18.409189,45070800
2001-01-09,32.531250,32.937500,31.875000,32.250000,18.589323,40814400
2001-01-10,31.625000,33.375000,31.125000,33.000000,19.021635,51494300
2001-01-11,32.375000,34.250000,32.000000,33.375000,19.237785,64954600
2001-01-12,33.562500,33.812500,31.812500,32.125000,18.517267,51374500
2001-01-16,32.187500,32.375000,31.000000,31.375000,18.084965,60301100
2001-01-17,33.000000,33.062500,30.125000,30.500000,17.580603,7427400
2001-01-18,30.937500,32.312500,30.000000,32.187500,18.553295,86633300
2001-01-19,33.375000,34.625000,32.312500,33.562500,19.345860,81348900
2001-01-22,32.687500,33.875000,32.500000,33.375000,19.237785,45756600
2001-01-23,33.437500,35.890625,32.750000,35.375000,20.390617,84553900
2001-01-24,35.687500,37.062500,35.187500,36.250000,20.894970,73579100
2001-01-25,35.812500,36.062500,34.312500,34.500000,19.886248,45890400
2001-01-26,34.125000,36.062500,33.750000,35.875000,20.678822,48063700
2001-01-29,35.250000,37.375000,34.750000,37.062500,21.363317,49092800
2001-01-30,37.375000,38.187500,36.812500,37.000000,21.327293,60806400
2001-01-31,37.312500,38.593750,36.500000,37.000000,21.327293,71894200
2001-02-01,37.062500,37.937500,36.500000,37.812500,21.795631,50297000
2001-02-02,37.671875,38.234375,35.500000,35.687500,20.570740,47151200
2001-02-05,35.062500,35.312500,33.671875,34.687500,20.005537,39185100
2001-02-06,34.562500,35.937500,34.484375,35.437500,20.438103,40329200
2001-02-07,35.000000,36.062500,33.875000,34.937500,20.149723,53148000
2001-02-08,35.375000,36.125000,34.562500,34.625000,19.969496,42899000
2001-02-09,34.312500,35.562500,33.437500,33.500000,19.320667,40892100
2001-02-12,33.687500,35.187500,33.625000,34.562500,19.933449,30482000
2001-02-13,34.125000,35.250000,32.375000,32.437500,18.707886,41910800
2001-02-14,32.562500,34.546875,31.937500,34.125000,19.681128,47442300
2001-02-15,35.437500,36.500000,35.125000,35.812500,20.654360,58334500
2001-02-16,34.750000,35.312500,33.625000,34.375000,19.825314,41543900
2001-02-20,34.062500,34.125000,31.375000,31.437500,18.131153,52397300
2001-02-21,31.000000,32.750000,30.500000,30.750000,17.734642,51582200
2001-02-22,30.937500,31.562500,29.625000,30.000000,17.302094,58517400
2001-02-23,30.375000,30.750000,28.500000,29.937500,17.266043,63558300
2001-02-26,30.562500,30.703125,28.437500,29.500000,17.013727,60349600
2001-02-27,29.500000,30.875000,29.000000,29.000000,16.725348,40787300
2001-02-28,29.375000,30.187500,28.000000,28.562500,16.473034,48601400
2001-03-01,28.250000,29.250000,27.062500,29.125000,16.797445,56268300
2001-03-02,28.500000,31.125000,28.375000,29.312500,16.905582,54626200
2001-03-05,29.875000,30.750000,29.500000,30.375000,17.518366,33275700
2001-03-06,31.625000,32.875000,31.437500,31.500000,18.167198,59734200
